Player Identifier,Position,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Classification
thompkl01,Guard,46,34:16:00,8,16.5,0.486,3.3,7.4,0.453,1.3,1.5,0.881,0.5,3.5,4,2.5,0.7,0.6,1.7,1.7,20.6,14.1,7.5,Selected
porzikr01,Forward,41,33:01:00,8.3,19.1,0.436,1.8,4.7,0.387,4.8,5.9,0.807,1.3,5.4,6.7,1.2,0.8,2.3,2.1,3,23.3,15.3,0.7,Selected
aldrila01,Center,46,33:55:00,8.7,17.9,0.487,0.5,1.5,0.338,4.4,5.2,0.838,3.4,5.3,8.7,1.9,0.5,1.2,1.5,2.3,22.3,17.1,3.1,Selected
oladivi01,Guard,42,34:07:00,8.8,18.2,0.484,2.5,6.2,0.402,4.1,5.2,0.794,0.5,4.7,5.2,3.9,2,0.9,2.8,2.4,24.2,17.8,4.4,Selected
westbru01,Guard,46,35:50:00,9.2,21.1,0.438,1.4,4.4,0.313,4.9,7,0.707,1.8,7.8,9.6,10.1,2,0.2,4.6,2.3,24.8,20.2,5.3,Selected
russeda01,Guard,14,25:50:00,6.9,15.4,0.447,1.4,4.7,0.288,3.1,4.6,0.677,0.6,3.4,4,5.1,0.9,0.1,3.7,2.4,18.2,10.9,-4.7,Not selected
caldwke01,Guard,38,33:24:00,4.8,11.4,0.416,2.1,5.8,0.357,2.1,2.7,0.765,0.8,4,4.8,2.1,1.7,0.3,1.4,1.7,13.7,10.3,-1.5,Not selected
pattepa01,Forward,46,14:32,1.1,3,0.365,0.8,2,0.391,0.4,0.5,0.909,0.3,1.7,2,0.6,0.5,0.2,0.5,1,3.4,2.7,-1,Not selected
anderry01,Forward,44,28:41:00,3.5,8.1,0.429,2.1,5.7,0.369,1.1,1.4,0.79,1.6,4,5.6,1,0.5,0.4,0.8,2,10.2,8,2.3,Not selected
paytoel01,Guard,37,29:13:00,5.5,10.5,0.519,0.6,1.6,0.39,1.6,2.6,0.632,1.1,2.9,4,6.4,1.3,0.3,2.6,2.1,13.2,11.8,-4.9,Not selected
gibsota01,Forward,49,33:47:00,5.1,8.9,0.574,0.1,0.6,0.241,1.8,2.3,0.765,2.6,5,7.6,1.3,0.9,0.7,1.1,2.7,12.1,11.1,4.7,Not selected
randlju01,Forward,46,23:14,5.3,9.6,0.552,0.2,0.8,0.229,2.9,4.2,0.684,1.9,5.2,7.1,2,0.5,0.7,2.3,3.3,13.6,10.1,-1.2,Not selected
willilo02,Guard,45,32:11:00,7.4,16.5,0.451,3,7.3,0.405,5.4,6,0.904,0.5,2,2.5,5.1,1,0.2,2.9,1.5,23.3,16.7,1.1,Not selected
millspa02,Forward,48,24:23:00,3.3,7.9,0.415,1.8,4.7,0.382,1.3,1.5,0.886,0.3,1.7,2,2.8,0.7,0.1,1.4,1.4,9.6,6.8,1.2,Not selected
johnsja01,Point-Forward,39,26:42:00,4.1,8.4,0.482,0.8,2.7,0.317,1.6,2.3,0.678,0.8,4.2,5,4.1,0.9,0.6,2.1,2.8,10.5,8.7,0.6,Not selected
beverpa01,Guard,11,30:19:00,4.4,10.8,0.403,2.2,5.5,0.4,1.3,1.5,0.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2,8.6,2.3,Not selected
vucevni01,Center,34,29:56:00,7.3,14.9,0.491,1.4,4.1,0.343,1.4,1.6,0.821,1.8,7.5,9.3,3.3,1,1.1,1.9,2.4,17.4,14.5,-0.2,Not selected
willima02,Forward,45,25:55:00,3.3,6.9,0.482,1.7,3.7,0.452,1.3,1.4,0.877,0.9,3.7,4.6,1.1,0.7,0.4,0.7,1.5,9.6,8.2,0.9,Not selected
hoodro01,Guard,36,28:15:00,6,14.5,0.413,2.7,7,0.386,2.1,2.4,0.862,0.4,2.6,3,1.7,0.8,0.2,1.7,1.8,16.7,9.6,-2.5,Not selected
noelne01,Center,18,12:30,1.6,2.9,0.528,0,0,,0.9,1.1,0.842,1.4,2.6,4,0.3,0.6,0.6,0.8,1.7,4,3.9,-5.3,Not selected
lopezro01,Center,47,28:27:00,5.9,10.9,0.54,0,0.1,0.286,1.3,1.6,0.776,2.2,2.7,4.9,2.1,0.2,0.9,1.8,1.9,13.1,9.7,-1.8,Not selected
chandwi01,Forward,43,31:05:00,3.4,8.2,0.413,1,3.1,0.321,1.4,1.6,0.857,1.5,4,5.5,2.1,0.5,0.5,1.5,2,9.1,6.9,0.1,Not selected
gordoer01,Guard,43,32:43:00,6.5,15.6,0.416,3.2,9.6,0.33,3.4,4.1,0.825,0.4,2,2.4,2.6,0.7,0.3,2.2,1.8,19.5,11.6,8.3,Not selected
covinro01,Forward,41,32:25:00,4.5,10.9,0.416,2.8,7.2,0.385,1.6,1.9,0.846,0.8,5,5.8,1.9,1.7,0.7,1.9,3,13.5,10.1,4.7,Not selected
harrito02,Forward,45,32:32:00,6.7,14.6,0.455,2.4,5.7,0.414,2.4,2.8,0.844,0.8,4.4,5.2,2,0.7,0.3,1,1.8,18.1,12.7,0.3,Not selected
valanjo01,Center,41,20:59,4.3,7.7,0.552,0.2,0.5,0.381,2.4,2.8,0.858,2.2,5.9,8.1,0.7,0.3,0.6,1.5,2.7,11.1,9.2,2.3,Not selected
morrima02,Forward,39,25:07:00,3.8,8.5,0.455,0.9,2.5,0.367,1.3,1.6,0.82,1.2,4.4,5.6,1.2,0.6,0.5,1.6,3.2,9.9,6.5,-0.3,Not selected
jacksre01,Guard,33,27:04:00,5.5,12.3,0.446,1.3,3.8,0.339,2.4,2.8,0.84,0.7,2.2,2.9,5.5,0.6,0.1,2.5,2.1,14.6,10.3,-0.3,Not selected
schrode01,Guard,43,31:51:00,7.8,17.7,0.44,1.1,3.8,0.299,3.3,3.7,0.882,0.7,2.3,3,6.6,1.1,0.1,2.6,2,20,14.2,-3.6,Not selected
greenda02,Guard,37,26:21:00,3.2,7.9,0.405,1.7,4.4,0.389,0.4,0.6,0.682,0.4,3,3.4,1.8,1.1,1.1,1.2,1.4,8.5,6.7,1.5,Not selected
wadedw01,Guard,41,23:16,4.3,9.6,0.447,0.5,1.5,0.323,2,2.8,0.717,0.8,3,3.8,3.7,1,0.7,2,1.9,11,8.5,2,Not selected
howardw01,Center,45,30:28:00,5.7,10.5,0.541,0,0,0,4.1,7.7,0.533,3.5,9.1,12.6,1.4,0.7,1.6,3,3.2,15.5,12.5,2.2,Not selected
monrogr01,Center,21,21:25,4.5,7.6,0.591,0,0,,1.2,1.7,0.722,2.1,5,7.1,2.3,0.6,0.2,1.7,1.9,10.2,9.4,-4.6,Not selected
nowitdi01,Forward,47,25:06:00,4.6,9.9,0.468,1.6,3.9,0.418,1.4,1.5,0.901,0.4,5.2,5.6,1.7,0.6,0.5,0.7,1.7,12.3,9.7,-0.8,Not selected
zelleco01,Center,19,19:54,2.5,5,0.495,0.1,0.1,1,2.2,3.1,0.724,2.4,3.1,5.5,0.8,0.5,1.1,1.1,2.7,7.2,6.6,-0.9,Not selected
nurkiju01,Center,44,27:00:00,5.9,12.5,0.471,0,0.2,0,2.8,4.2,0.663,2.2,5.9,8.1,1.8,0.8,1.3,2.6,3,14.5,10,-0.4,Not selected
turnemy01,Center,33,29:12:00,5.2,10.7,0.49,0.8,2.5,0.333,2.6,3.5,0.746,1.2,5.3,6.5,1.6,0.5,2.2,1.7,2.7,13.9,11,1.2,Not selected
favorde01,Center,44,28:13:00,5,9.2,0.548,0.1,0.5,0.208,2.1,3,0.723,2.5,4.5,7,1.5,0.7,1,1.3,2.3,12.3,10.9,-1.6,Not selected
gortama01,Center,47,26:46:00,3.8,7,0.535,0,0,,1.4,2.4,0.607,2.3,5.9,8.2,1.8,0.6,0.7,1.2,2.1,9,8.9,1.2,Not selected
gasolpa01,Center,46,25:19:00,4,8.5,0.471,0.8,1.9,0.414,1.9,2.4,0.782,1.5,6.7,8.2,3.3,0.3,1.1,1.5,1.5,10.7,10.4,1.4,Not selected
bookede01,Guard,37,34:27:00,8.3,19,0.437,2.7,7,0.382,5.7,6.5,0.887,0.4,4.1,4.5,4.7,1,0.3,3.6,3.1,25,15.9,-4.7,Not selected
hillge01,Guard,38,27:02:00,3.6,7.8,0.461,1.4,3.1,0.448,1.7,2.2,0.776,0.5,2.4,2.9,2.8,0.9,0.3,1.4,1.7,10.3,8.1,-6.2,Not selected
arizatr01,Forward,41,36:01:00,4.1,9.7,0.424,2.7,7.1,0.385,1.2,1.3,0.891,0.6,4.3,4.9,1.7,1.6,0.2,0.9,1.9,12.1,9.9,6.1,Not selected
rubiori01,Guard,46,29:01:00,3.8,10,0.384,1,3.5,0.292,2.4,2.8,0.867,0.5,3.5,4,4.8,1.6,0.1,2.8,2.6,11.1,8.1,-3,Not selected
holidjr01,Guard,46,37:02:00,7.3,14.9,0.493,1.7,5,0.339,2.3,2.8,0.812,0.6,3.7,4.3,5.2,1.5,0.6,2.6,2.3,18.6,14.5,3.3,Not selected
redicjj01,Guard,36,32:34:00,5.8,13,0.448,2.7,6.7,0.405,2.9,3.1,0.946,0.2,2.6,2.8,3.3,0.5,0.1,1.5,2.1,17.3,12,2.3,Not selected
capelca01,Center,40,26:26:00,6.2,9.3,0.664,0,0,0,2.2,3.6,0.601,3.3,7.4,10.7,1.2,0.8,1.7,1.6,2.8,14.5,14.5,4.4,Not selected
harriga01,Guard,43,34:54:00,6.5,13.3,0.489,2.3,5.9,0.38,1.8,2.2,0.809,0.6,2.1,2.7,3.3,2,0.3,1.9,1.8,17,13,3.1,Not selected
ibakase01,Forward,40,28:07:00,5.3,10.9,0.483,1.4,4,0.352,1.2,1.6,0.762,1,5.1,6.1,0.7,0.4,1.4,1.2,2.9,13.2,9.3,4.8,Not selected
teaguje01,Guard,38,33:43:00,4.9,11.2,0.436,1.2,3.4,0.357,2.5,3.1,0.81,0.4,2.7,3.1,7.1,1.5,0.3,2.8,2.6,13.4,11.2,2.5,Not selected
bradlav01,Guard,38,31:36:00,6,14.5,0.411,1.9,4.9,0.396,1.6,2.1,0.763,0.5,1.9,2.4,2.1,1.2,0.2,2.3,2,15.5,8,-2.3,Not selected
porteot01,Forward,43,31:34:00,5.3,11,0.483,1.7,3.9,0.426,1.2,1.4,0.823,1.2,5.1,6.3,1.8,1.6,0.6,0.8,1.9,13.5,11.8,3.5,Not selected
thomptr01,Center,25,19:04,2.1,3.6,0.584,0,0,,1,1.8,0.591,2.2,3.7,5.9,0.6,0.3,0.4,0.6,2,5.2,5.4,-3,Not selected
wiggian01,Forward,49,36:11:00,7,15.9,0.44,1.4,4.3,0.327,2.8,4.4,0.636,1.1,3.1,4.2,1.8,1.1,0.6,1.6,1.9,18.2,11.4,4.7,Not selected
barneha02,Forward,47,34:49:00,7,15.3,0.454,1.3,3.9,0.343,3.3,3.9,0.832,1.1,5.7,6.8,2,0.7,0.2,1.6,1.3,18.5,13,-3.5,Not selected
batumni01,Guard,31,31:15:00,4.2,10.1,0.412,1.1,4,0.285,1.5,1.9,0.814,0.7,3.6,4.3,4.6,1,0.3,2.1,1.1,11,8.9,1.7,Not selected
adamsst01,Center,41,31:54:00,6,9.3,0.645,0,0,0,1.9,3.2,0.603,5,3.8,8.8,1,1.1,1,1.6,2.8,13.9,13.8,4.1,Not selected
iguodan01,Forward,39,25:52:00,2.2,5.1,0.422,0.4,1.8,0.225,0.9,1.4,0.661,0.8,3,3.8,3.4,0.8,0.6,1.1,1.4,5.7,6.3,4.1,Not selected
lopezbr01,Center,38,21:14,4.4,10.1,0.435,1.4,4.3,0.323,1.5,2.2,0.707,1.1,2.9,4,1.6,0.5,1.3,1.6,2.7,11.7,7.7,-1.4,Not selected
crowdja01,Forward,45,25:26:00,3,7.3,0.41,1.2,3.7,0.313,1.4,1.6,0.878,0.8,2.4,3.2,1.1,0.8,0.2,0.8,2.3,8.6,6,-1.6,Not selected
gallida01,Forward,11,31:46:00,4.4,12.6,0.345,1.5,5.6,0.258,3.2,3.3,0.972,0.2,4.2,4.4,2.5,0.7,0.2,1.5,1.5,13.4,8.2,2.1,Not selected
thomais02,Guard,7,24:29:00,5.7,14.4,0.396,2,6.9,0.292,2.7,3.6,0.76,0.7,0.6,1.3,3.6,0.4,0.1,2.4,1.7,16.1,8.6,-8.6,Not selected
mccolcj01,Guard,46,36:21:00,8.1,18.3,0.444,2.5,5.9,0.419,2.7,3.1,0.88,0.6,3.4,4,3.2,1.1,0.4,1.9,2.3,21.4,13.9,-0.2,Not selected
bledser01,Guard,39,31:24:00,6.2,13.8,0.444,1.5,4.8,0.307,3.7,4.8,0.762,0.7,2.9,3.6,4.2,2.2,0.6,3,2.5,17.5,12.8,-0.5,Not selected
anthoca01,Forward,45,32:34:00,6.7,15.7,0.424,2.2,6,0.365,2.3,3,0.766,0.7,5.2,5.9,1.5,0.7,0.6,1.3,2.8,17.9,11.1,4.2,Not selected
middlkh01,Forward,46,37:16:00,7.4,16.1,0.463,1.9,5.5,0.341,3.7,4.2,0.875,0.5,4.8,5.3,4.3,1.3,0.2,2.3,3.2,20.4,14.5,0.8,Not selected
whiteha01,Center,29,26:06:00,6.1,10.8,0.569,0.1,0.1,1,2.4,3.2,0.734,2.8,9,11.8,0.8,0.8,1.9,1.7,2.2,14.7,14,-1.1,Not selected
jordade01,Center,41,32:07:00,4.9,7.3,0.661,0,0,,2,3.4,0.604,4.4,10.5,14.9,1.2,0.5,1,1.6,2.9,11.8,13.5,-0.7,Not selected
millspa01,Forward,16,29:39:00,5.6,12.6,0.446,1.2,3.6,0.345,2.8,4.1,0.692,1.5,4.7,6.2,3.1,1.1,1.2,2.1,2.4,15.3,11.8,2.3,Not selected
loveke01,Center,44,28:26:00,6,13,0.459,2.2,5.6,0.401,4.4,5,0.882,2,7.4,9.4,1.7,0.7,0.5,1.6,2.1,18.6,15,-0.5,Not selected
jokicni01,Center,40,31:03:00,5.9,12.6,0.47,1.2,3.6,0.333,3.1,3.7,0.85,2.8,7.7,10.5,5,1.2,0.8,2.7,2.6,16.2,15.2,3.4,Not selected
gasolma01,Center,45,34:29:00,6.2,14.8,0.418,1.4,4.2,0.34,4.3,5.1,0.839,1.3,7.2,8.5,3.9,0.7,1.4,2.8,2.5,18.1,13.5,-3,Not selected
griffbl01,Point-Forward,30,34:21:00,7.7,17.4,0.444,1.9,5.6,0.331,5.4,6.9,0.783,1.5,6.4,7.9,5.5,0.8,0.3,3.2,2.5,22.7,16.7,0.3,Not selected
conlemi01,Guard,12,31:06:00,5.3,14,0.381,2,6.4,0.312,4.4,5.5,0.803,0,2.2,2.2,4.1,1,0.2,1.5,2,17.1,11.4,-1.3,Not selected
haywago01,Forward,1,5:15,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,0,1,2,0.9,3,Not selected
goberru01,Center,21,29:43:00,4.3,7.2,0.599,0,0,,3.4,5.1,0.664,2.6,7,9.6,1.1,0.6,2.4,2,2.6,12,12,-2.2,Not selected
paulch01,Guard,28,32:17:00,6.5,14.1,0.46,2.8,7,0.396,3.3,3.6,0.911,0.7,5.2,5.9,8.9,1.9,0.4,2.6,2.5,19.1,18.6,8,Not selected
leonaka01,Forward,9,23:19,5.8,12.3,0.468,1.2,3.9,0.314,3.4,4.2,0.816,0.7,4,4.7,2.3,2,1,1.8,1,16.2,13.4,1.9,Not selected
